index,id,title,date,tags,images
378,3aad6f94-3ef1-80d3-ac4c-f00f35dc2a74,Arabs in Palestine Talk of Holy War,,Terrorism; Israel/Palestine; Arab World; Islamic World; Holy Sites,images/0378-Arabs-in-Palestine-Talk-of-Holy-War-1.png; images/0378-Arabs-in-Palestine-Talk-of-Holy-War-2.png
379,3aad6f94-3ef1-80bd-bab5-f844a258b620,Arabs in Palestine Ambush Army Unit,1938-08-19,Islamic World; Israel/Palestine; Arab World; Terrorism; Targeting of Children; Targeting of Civilians,images/0379-Arabs-in-Palestine-Ambush-Army-Unit-1.png
380,3aad6f94-3ef1-808a-99bf-fdef44dbd9f4,Young Men in Iraq Enlist for ‘Holy War’; Moslem Leaders Ask Aid for Palestine Arabs,1938-08-10,Israel/Palestine; Iraq; Islamic World; Arab World; Intent in Israel/Palestine; Terrorism,images/0380-Young-Men-in-Iraq-Enlist-for-Holy-War-Moslem-Leaders-Ask-Aid-for-Palestine-Arabs-1.png
381,3aad6f94-3ef1-80a3-b441-d65486f07ef7,Fascists Give up Ban on Catholics,1938-08-25,Christianity & Churches; Nazis/Fascists; Western Antisemitism; Italy,images/0381-Fascists-Give-up-Ban-on-Catholics-1.png
382,3aad6f94-3ef1-8022-8f1f-d2886929c65e,Palestine Strife Fatal to Thirteen,1938-08-16,Targeting of Civilians; Terrorism; Israel/Palestine; Arab World; Islamic World,images/0382-Palestine-Strife-Fatal-to-Thirteen-1.png
383,3aad6f94-3ef1-803c-aa8b-c6bfd72f019e,Troops Rout Arabs in Palestine Clash,1938-08-01,Israel/Palestine; Arab World; Islamic World; Terrorism; Intent in Israel/Palestine,images/0383-Troops-Rout-Arabs-in-Palestine-Clash-1.png
384,3aad6f94-3ef1-8083-b026-f77714f808cc,Arab Rebels Set Up Palestine Courts,1938-08-02,Terrorism; Israel/Palestine; Arab World; Islamic World; Land purchases in Israel/Palestine,images/0384-Arab-Rebels-Set-Up-Palestine-Courts-1.png
385,3aad6f94-3ef1-8086-8813-f15cfc03dead,Arabs in Palestine Continue Attacks,1938-08-29,Terrorism; Israel/Palestine; Arab World; Targeting of Civilians; Christianity & Churches,images/0385-Arabs-in-Palestine-Continue-Attacks-1.png
386,3aad6f94-3ef1-80f1-83ba-d749355533d7,Araba and Troops Battle in Hebron,1938-08-20,Israel/Palestine; Islamic World; Arab World; Targeting of Civilians; Terrorism,images/0386-Araba-and-Troops-Battle-in-Hebron-1.png
387,3aad6f94-3ef1-8010-9c01-e24855bd6f03,Riot on Beach at Coney,1937-08-01,US; The Americas; Western Antisemitism,images/0387-Riot-on-Beach-at-Coney-1.png
388,3aad6f94-3ef1-805c-b01b-f26b5584cd37,Three Slain in New Palestine Disorders; British Troops Get Orders to ‘Stand To’,1937-08-31,Terrorism; Israel/Palestine; Arab World; Islamic World,images/0388-Three-Slain-in-New-Palestine-Disorders-British-Troops-Get-Orders-to-Stand-To-1.png
389,3aad6f94-3ef1-803a-bec6-e050507cbe1a,Tel Aviv Jew Killed By Bomb from Train,1936-08-17,Terrorism; Israel/Palestine; Islamic World; Arab World,images/0389-Tel-Aviv-Jew-Killed-By-Bomb-from-Train-1.png
390,3aad6f94-3ef1-803f-aadb-ce236a4fc68e,Hebron Mayor Slain; Aid in Safed Urged,1936-08-15,Terrorism; Israel/Palestine; Islamic World; Arab World; Targeting of Children,images/0390-Hebron-Mayor-Slain-Aid-in-Safed-Urged-1.png
391,3aad6f94-3ef1-8050-a8c5-cc36c0497044,Two Britons Deny Libel on the Jews,1936-08-27,England/UK; Europe; Western Antisemitism; Blood Libel; Jews as aliens/foreigners,images/0391-Two-Britons-Deny-Libel-on-the-Jews-1.png; images/0391-Two-Britons-Deny-Libel-on-the-Jews-2.png
